Job Index,Start Time (ms),End Time,Duration (ms)
242,22:34:20.56,22:34:20.444,388
243,22:34:21.884,22:34:22.230,346
244,22:34:23.639,22:34:24.020,381
245,22:34:25.344,22:34:25.693,349
246,22:34:26.998,22:34:27.376,378
247,22:34:28.557,22:34:28.895,338
248,22:34:30.276,22:34:30.658,382
249,22:34:31.997,22:34:32.344,347
250,22:34:33.593,22:34:33.972,379
251,22:34:35.413,22:34:35.764,351
252,22:34:37.74,22:34:37.455,381
253,22:34:38.579,22:34:38.928,349
254,22:34:40.327,22:34:40.703,376
255,22:34:42.120,22:34:42.466,346
256,22:34:43.900,22:34:44.280,380
257,22:34:45.458,22:34:45.806,348
258,22:34:47.283,22:34:47.672,389
259,22:34:48.811,22:34:49.146,335
260,22:34:50.624,22:34:50.999,375
261,22:34:52.433,22:34:52.771,338
262,22:34:54.63,22:34:54.441,378
263,22:34:55.723,22:34:56.072,349
264,22:34:57.621,22:34:58.000,379
265,22:34:59.368,22:34:59.708,340
266,22:35:00.994,22:35:01.382,388
267,22:35:02.755,22:35:03.514,759
268,22:35:04.608,22:35:05.374,766
269,22:35:06.339,22:35:07.150,811
270,22:35:08.90,22:35:08.893,803
271,22:35:09.820,22:35:10.624,804
272,22:35:11.769,22:35:12.602,833
273,22:35:13.721,22:35:14.530,809
274,22:35:15.351,22:35:16.158,807
275,22:35:17.398,22:35:18.399,1001
276,22:35:19.96,22:35:20.070,974
277,22:35:20.936,22:35:21.779,843
278,22:35:22.519,22:35:23.348,829
279,22:35:24.375,22:35:25.210,835
280,22:35:26.126,22:35:26.963,837
281,22:35:27.956,22:35:28.793,837
282,22:35:29.586,22:35:30.402,816
283,22:35:31.233,22:35:32.047,814
284,22:35:32.967,22:35:33.786,819
285,22:35:34.704,22:35:35.492,788
286,22:35:36.446,22:35:37.268,822
287,22:35:38.192,22:35:39.046,854
288,22:35:40.86,22:35:40.899,813
289,22:35:41.907,22:35:42.728,821
290,22:35:43.720,22:35:44.549,829
291,22:35:45.663,22:35:46.291,628
292,22:35:47.554,22:35:47.973,419
293,22:35:49.562,22:35:49.940,378
294,22:35:51.507,22:35:51.894,387
295,22:35:53.256,22:35:53.606,350
296,22:35:55.285,22:35:55.669,384
297,22:35:57.150,22:35:57.517,367
298,22:35:58.766,22:35:59.158,392
299,22:36:00.722,22:36:01.107,385
300,22:36:02.235,22:36:02.611,376
301,22:36:03.880,22:36:04.227,347
302,22:36:05.825,22:36:06.211,386
303,22:36:07.491,22:36:07.833,342
304,22:36:09.338,22:36:09.734,396
305,22:36:10.934,22:36:11.287,353
306,22:36:12.560,22:36:12.940,380
307,22:36:14.273,22:36:14.621,348
308,22:36:16.102,22:36:16.481,379
309,22:36:17.991,22:36:18.344,353
310,22:36:19.575,22:36:19.956,381
311,22:36:21.196,22:36:21.536,340
312,22:36:23.186,22:36:23.574,388
313,22:36:24.759,22:36:25.106,347
314,22:36:26.319,22:36:26.701,382
315,22:36:28.63,22:36:28.411,348
316,22:36:29.814,22:36:30.194,380
317,22:36:31.388,22:36:31.733,345
318,22:36:33.160,22:36:33.546,386
319,22:36:35.103,22:36:35.447,344
320,22:36:36.675,22:36:37.058,383
321,22:36:38.497,22:36:38.847,350
322,22:36:40.116,22:36:40.494,378
323,22:36:41.713,22:36:42.059,346
324,22:36:43.398,22:36:43.784,386
325,22:36:45.143,22:36:45.490,347
326,22:36:46.740,22:36:47.116,376
327,22:36:48.598,22:36:48.948,350
328,22:36:50.255,22:36:50.635,380
329,22:36:52.20,22:36:52.370,350
330,22:36:53.820,22:36:54.204,384
