Timestamp,Used (MB),Committed (MB),Max (MB)
1970-01-01 09:40:21,383.93,,
1970-01-01 09:40:21,403.93,,
1970-01-01 09:40:21,427.93,,
1970-01-01 09:40:21,449.93,,
1970-01-01 09:40:21,54.31,,
1970-01-01 09:40:21,78.31,,
1970-01-01 09:40:21,100.31,,
1970-01-01 09:40:21,126.31,,
1970-01-01 09:40:21,150.31,,
1970-01-01 09:40:21,170.31,,
1970-01-01 09:40:21,198.31,,
1970-01-01 09:40:21,222.31,,
1970-01-01 09:40:21,242.31,,
1970-01-01 09:40:21,268.31,,
1970-01-01 09:40:21,294.31,,
1970-01-01 09:40:21,314.31,,
1970-01-01 09:40:21,342.31,,
1970-01-01 09:40:21,366.31,,
1970-01-01 09:40:21,386.31,,
1970-01-01 09:40:21,412.31,,
1970-01-01 09:40:21,438.31,,
1970-01-01 09:40:21,462.31,,
1970-01-01 09:40:21,54.43,,
1970-01-01 09:40:21,80.43,,
1970-01-01 09:40:21,104.43,,
1970-01-01 09:40:21,126.43,,
1970-01-01 09:40:21,152.43,,
1970-01-01 09:40:21,176.43,,
1970-01-01 09:40:21,198.43,,
1970-01-01 09:40:21,220.43,,
1970-01-01 09:40:21,246.43,,
1970-01-01 09:40:21,270.43,,
1970-01-01 09:40:21,292.43,,
1970-01-01 09:40:21,316.43,,
1970-01-01 09:40:21,338.43,,
1970-01-01 09:40:21,364.43,,
1970-01-01 09:40:21,390.43,,
1970-01-01 09:40:21,414.43,,
1970-01-01 09:40:21,436.43,,
1970-01-01 09:40:21,462.43,,
1970-01-01 09:40:21,52.39,,
1970-01-01 09:40:21,76.39,,
1970-01-01 09:40:21,100.39,,
1970-01-01 09:40:21,122.39,,
1970-01-01 09:40:21,148.39,,
1970-01-01 09:40:21,170.39,,
1970-01-01 09:40:21,196.39,,
1970-01-01 09:40:21,220.39,,
1970-01-01 09:40:21,242.39,,
1970-01-01 09:40:21,268.39,,
1970-01-01 09:40:21,288.39,,
1970-01-01 09:40:21,314.39,,
1970-01-01 09:40:21,336.39,,
1970-01-01 09:40:21,360.39,,
1970-01-01 09:40:21,382.39,,
1970-01-01 09:40:21,406.39,,
1970-01-01 09:40:21,430.39,,
1970-01-01 09:40:21,454.39,,
1970-01-01 09:40:21,46.38,,
1970-01-01 09:40:21,72.38,,
1970-01-01 09:40:21,94.38,,
1970-01-01 09:40:21,120.38,,
1970-01-01 09:40:21,146.38,,
1970-01-01 09:40:21,170.38,,
1970-01-01 09:40:21,192.38,,
1970-01-01 09:40:21,218.38,,
1970-01-01 09:40:21,240.38,,
1970-01-01 09:40:21,264.38,,
1970-01-01 09:40:21,286.38,,
1970-01-01 09:40:21,312.38,,
1970-01-01 09:40:21,334.38,,
1970-01-01 09:40:21,360.38,,
1970-01-01 09:40:21,386.38,,
1970-01-01 09:40:21,412.38,,
1970-01-01 09:40:21,432.38,,
1970-01-01 09:40:21,460.38,,
1970-01-01 09:40:21,52.45,,
1970-01-01 09:40:21,72.45,,
1970-01-01 09:40:21,100.45,,
1970-01-01 09:40:21,120.45,,
1970-01-01 09:40:21,146.45,,
1970-01-01 09:40:21,168.45,,
1970-01-01 09:40:21,194.45,,
1970-01-01 09:40:21,220.45,,
1970-01-01 09:40:21,242.45,,
1970-01-01 09:40:21,268.45,,
1970-01-01 09:40:21,294.45,,
1970-01-01 09:40:21,316.45,,
1970-01-01 09:40:21,340.45,,
1970-01-01 09:40:21,364.45,,
1970-01-01 09:40:21,388.45,,
1970-01-01 09:40:21,416.45,,
1970-01-01 09:40:21,436.45,,
1970-01-01 09:40:21,464.45,,
1970-01-01 09:40:21,56.78,,
1970-01-01 09:40:21,78.78,,
1970-01-01 09:40:21,104.78,,
1970-01-01 09:40:21,126.78,,
1970-01-01 09:40:21,152.78,,
1970-01-01 09:40:21,178.78,,
1970-01-01 09:40:21,200.78,,
1970-01-01 09:40:21,226.78,,
1970-01-01 09:40:21,252.78,,
1970-01-01 09:40:21,262.78,,
1970-01-01 09:40:21,262.78,,
1970-01-01 09:40:21,264.78,,
1970-01-01 09:40:21,264.78,,
1970-01-01 09:40:21,266.78,,
1970-01-01 09:40:21,266.78,,
1970-01-01 09:40:21,266.78,,
