Job Index,Start Time (ms),End Time,Duration (ms),
90,22:29:52.68,22:29:52.453,385,20462.4803818206
91,22:29:53.798,22:29:54.138,340,35361.7217611309
92,22:29:55.548,22:29:55.929,381,21622.8573933148
93,22:29:57.276,22:29:57.620,344,33873.3447496367
94,22:29:59.213,22:29:59.598,385,20462.4803818206
95,22:30:00.761,22:30:01.107,346,33141.1562438895
96,22:30:02.608,22:30:02.985,377,22815.2344048091
97,22:30:04.271,22:30:04.617,346,33141.1562438895
98,22:30:06.618,22:30:06.997,379,22215.045899062
99,22:30:08.391,22:30:08.742,351,31345.6849795217
100,22:30:10.280,22:30:10.654,374,23730.5171634298
101,22:30:12.62,22:30:12.424,362,27571.6481979125
102,22:30:13.920,22:30:14.304,384,20749.5746346941
103,22:30:15.722,22:30:16.067,345,33506.2504967631
104,22:30:17.538,22:30:17.921,383,21038.6688875677
105,22:30:19.85,22:30:19.429,344,33873.3447496367
106,22:30:20.777,22:30:21.160,383,21038.6688875677
107,22:30:22.484,22:30:22.838,354,30292.402220901
108,22:30:24.126,22:30:24.529,403,15636.7838300964
109,22:30:25.896,22:30:26.249,353,30641.4964737746
110,22:30:27.794,22:30:28.180,386,20177.386128947
111,22:30:29.431,22:30:29.768,337,36499.0045197516
112,22:30:31.82,22:30:31.461,379,22215.045899062
113,22:30:32.817,22:30:33.180,363,27240.553945039
114,22:30:34.772,22:30:35.153,381,21622.8573933148
